problem_no,title,optimal_tc,current_space_tc
leetcode-3,Longest Substring Without Repeating Characters,O(n),O(n)
leetcode-4,Median Of Two Sorted Arrays,"O(log(min(m, n)))",O(1)
leetcode-7,Reverse Integer,O(1),O(1)
leetcode-9,Palindrome Number,O(1),O(1)
leetcode-10,Regular Expression Matching,O(m * n),O(1)
leetcode-11,Container With Most Water,O(n),O(1)
leetcode-15,3Sum,O(n^2),O(n)
leetcode-18,4Sum,O(n^3),O(n)
leetcode-22,Generate Parentheses,O(4^n / n^(3/2)),O(1)
leetcode-29,Divide Two Integers,O(1),O(1)
leetcode-30,Substring With Concatenation Of All Words,O((m + n) * k),O(n)
leetcode-41,First Missing Positive,O(n),O(1)
leetcode-44,Wildcard Matching,O(m * n),O(1)
leetcode-49,Group Anagrams,O(n * glogg),O(n)
leetcode-52,N Queens Ii,O(n!),O(n)
leetcode-58,Length Of Last Word,O(n),O(1)
leetcode-63,Unique Paths Ii,O(m * n),O(1)
leetcode-65,Valid Number,O(n),O(1)
leetcode-68,Text Justification,O(n),O(1)
leetcode-69,Sqrtx,O(logn),O(1)
leetcode-74,Search A 2D Matrix,O(logm + logn),O(1)
leetcode-93,Restore Ip Addresses,O(1),O(1)
leetcode-97,Interleaving String,O(m * n),O(1)
leetcode-125,Valid Palindrome,O(n),O(1)
leetcode-127,Word Ladder,O(b^(d/2)),O(n)
leetcode-134,Gas Station,O(n),O(1)
leetcode-153,Find Minimum In Rotated Sorted Array,O(logn),O(1)
leetcode-154,Find Minimum In Rotated Sorted Array Ii,O(logn) ~ O(n),O(1)
leetcode-159,Longest Substring With At Most Two Distinct Characters,O(n),O(n)
leetcode-162,Find Peak Element,O(logn),O(1)
leetcode-165,Compare Version Numbers,O(n),O(1)
leetcode-188,Best Time To Buy And Sell Stock Iv,O(n),O(1)
leetcode-191,Number Of 1 Bits,O(1),O(1)
leetcode-198,House Robber,O(n),O(1)
leetcode-200,Number Of Islands,O(m * n),O(1)
leetcode-201,Bitwise And Of Numbers Range,O(1),O(1)
leetcode-202,Happy Number,O(k),O(n)
leetcode-210,Course Schedule Ii,O(|V| + |E|),O(n)
leetcode-215,Kth Largest Element In An Array,O(n) on average,O(1)
leetcode-216,Combination Sum Iii,"O(k * C(n, k))",O(1)
leetcode-218,The Skyline Problem,O(nlogn),O(n)
leetcode-224,Basic Calculator,O(n),O(1)
leetcode-228,Summary Ranges,O(n),O(1)
leetcode-233,Number Of Digit One,O(1),O(1)
leetcode-246,Strobogrammatic Number,O(n),O(n)
leetcode-248,Strobogrammatic Number Iii,O(5^(n/2)),O(n)
leetcode-255,Verify Preorder Sequence In Binary Search Tree,O(n),O(1)
